term1,term2,label,related
Klasse,Übernachtung,Kategorie,1
Nicht-schengen-staat,Deutschland,Gebiet,1
Erziehungszweck,Wegzeit,Gegenstand,1
Reiseform,Science-fiction-roman,Großeltern,1
Integrationsmilieu,Möglichkeit,Gesamtheit,1
Arbeit,Berg,Objekt,1
Schulfahrt,Verbreitung,Ordnung,1
Wiki-form,Wandererlass,Anordnung,1
Zweck,Musterschule,Ort,1
Reiseführer,Information,Text,1
Frauenfahrt,Bedeutung,Taxon,1
Haustürgeschäft,Richtung,Gewinn,1
Klasse,Fahrtzweck,Anzahl,1
Zweck,Verbreitung,Partnern,1
Fahrt,Arbeitspflicht,Verhältnis,1
Fahrt,Science-fiction-roman,Güte,1
Fahrtzweck,Leistung,Kategorie,1
Klasse,Grund,Ergebnis,1
Regelarbeitszeit,Jahr,Zeitpunkt,1
Klasse,Reiseart,Beziehung,1
Wiki-form,Stelle,Ordnung,1
Erziehungszweck,Tätigkeit,Kategorie,1
Klasse,Reiseführer,Person,1
Dienst,Jahrhundert,Kleidungsstück,1
Wagenklasse,Vorschuss,Anzahl,1
Hochphase,Mitnahme,Raumzeit,1
Fahrtzweck,Schule,Schicht,1
Zweck,Tag,Einheit,1
Pflicht,Abenteuer,Geschehnis,1
Arbeitsleistung,Erledigung,Gewinn,1
Reiseverkehr,Abi-reise,Veränderung,1
Fahrt,Tätigkeit,Zustand,1
Zweck,Organisation,Handlung,1
Klasse,Schüler,Mensch,1
Staat,Bestimmung,Bereich,1
Erziehungszweck,Verb,Partnern,1
Austauschreise,Schulwanderung,Fortbewegung,1
Schülerfahrt,Frauenfahrt,Bewegung,1
Leistung,Aufenthalt,Kanton,1
Klasse,Roman,Schicht,1
Außendienst,Stelle,Plural,1
Bundesreisekostengesetz,Soldat,Gesamtheit,1
Milieu,Auto,Gesamtheit,1
Ausgabe,Mitnahme,Gegenwart,1
Reiseform,Verb,Eigenschaft,1
Zweck,Tätigkeit,Eigenschaft,1
Fahrt,Verb,Güte,1
Fahrt,Welt,Familie,1
Transitstaat,Bedeutung,Truppenteil,1
Arbeitsleistung,Caritasverband,Handlung,1
Tätigkeit,Generation,Zeitabschnitt,1
Form,Science-fiction-roman,Partnern,1
Staat,Autofahrer,Werkzeug,1
Motivation,Schweiz,Ergebnis,1
Reiseverkehr,Ort,Raum,1
Reiseform,Dienstreise,Anzahl,1
Betriebsausgabe,Monat,Objekt,1
Erziehungszweck,Bezug,Raum,1
Fahrt,Dienstgang,Ort,1
Reiseform,Information,Eigenschaft,1
Unterrichtsgang,Autor,Hausflur,1
Fahrtzweck,Schiff,Gruppe,1
Staat,Beförderungsklasse,Werkzeug,1
Kosten,Lernen,Aufwand,1
Studienfahrt,Dienstgeschäft,Gruppe,1
Wiki-form,Arbeitszeit,Bedeutungen,1
Beförderungsklasse,Milliarde,Zahl,1
Schüler,Unternehmen,Laufen,1
Zweck,Art,Klasse,1
Fahrtzweck,Form,Anforderungen,1
Wagenklasse,Dienstreise,Teileinheit,1
Erziehungszweck,Tramper-bewegung,Klasse,1
Bundesreisekostengesetz,Verbreitung,Modell,1
Staat,Dienstreise,Beziehung,1
Form,Information,Taxon,1
Einkommensteuergesetz,Dienst,Gesamtheit,1
Reiseform,Dienst,Konzept,1
Wagenklasse,Dienstanweisung,Vorgang,1
Nicht-schengen-staat,Arbeit,Einheit,1
Vorphase,Schiff,Raumzeit,1
Arbeitszeit,Frau,Zeit,1
Reiseform,Bahn,Endzustand,1
Freizeitverkehr,Anhalter,Verbindung,1
Erziehungszweck,Familie,Einrichtung,1
Linienverkehr,Kraftfahrzeug,Abschnitt,1
Beförderungsklasse,Tramper-bewegung,Klasse,1
Reiseform,Unterrichtsgang,Grundeinheit,1
Studienfahrt,Austauschreise,Betätigung,1
Bundesreisekostengesetz,Schild,Vorgang,1
Fahrt,Durchführung,Gattung,1
Wagenklasse,Arbeitsort,Zahl,1
Klasse,Dienst,Teil,1
Wiki-form,Verb,Eigenschaft,1
Land,Europa,Bestandteil,1
Fahrtenprogramm,Stelle,Kleidungsstück,1
Reiseverkehr,Reiseart,Abschnitt,1
Erziehungszweck,Geschichte,Modell,1
Zweck,Teil,Abschnitt,1
Reiseverkehr,Arbeitsort,Raum,1
Freizeitverkehr,Eisenbahn,Verfassung,1
Linienverkehr,Roman,Zustand,1
Beförderungsklasse,Schiff,Gruppe,1
Schulfahrt,Frauenfahrt,Betrieb,1
Bundesreisekostengesetz,Einkommensteuergesetz,Darstellung,1
Außendienst,Bestimmung,Plural,1
Fahrt,Dienstgang,Modell,1
Land,Deutschland,Territorium,1
Arbeit,Thema,Objekt,1
Regelleistung,Haustürgeschäft,Geschehnis,1
Frauenfahrt,Tramper-bewegung,Zustand,1
Erziehungszweck,Schulbusschild,Einrichtung,1
Musterschule,Gastfamilie,Gegenstand,1
Wagenklasse,Organisation,Raumzeit,1
Erziehungszweck,Aufenthalt,Abschnitt,1
Klasse,Stelle,Gesamtheit,1
Organisation,Familie,Planung,1
Fahrtzweck,Verbrechen,Abteilung,1
Arbeitsleistung,Betrieb,Bereich,1
Wiki-form,Zahl,Vorgang,1
Bundesreisekostengesetz,Generation,Lebewesen,1
Frauenfahrt,Welt,Eigenschaft,1
Zweck,Reiseführer,Einheit,1
Beförderungsklasse,Strandaufenthalt,Ort,1
Frauenfahrt,Berg,Familie,1
Form,Geschichte,Güte,1
Roman,Art,Zelle,1
Transitstaat,Lernen,Tätigkeit,1
Linienverkehr,Unternehmen,Gang,1
Reiseform,Form,Anforderungen,1
Kilometergeld,Klasse,Mittel,1
Zweck,Roman,Gebiet,1
Wohnsitzstaat,Arbeitsstätte,Truppenteil,1
Arbeitsgesetz,Gastfamilie,Abbildung,1
Regelarbeitszeit,Mensch,Gegenwart,1
Zweck,Tramper-bewegung,Grundeinheit,1
Lernen,Bahn,Durchführung,1
Science-fiction-roman,Unterrichtsgang,Domäne,1
Reiseverkehr,Wandererlass,Zustand,1
Linienverkehr,Mitreisen,Bewegung,1
Schülerfahrt,Reise,Art,1
Beförderungsklasse,Interesse,Gruppe,1
Fahrtzweck,Wohnung,Zahl,1
Österreich,Bahn,Staat,1
Fahrtzweck,Erziehungszweck,Zelle,1
Weltreiseführer,Dienstreise,Folge,1
Frauenfahrt,Austauschreise,Betätigung,1
Beförderungsklasse,Strandaufenthalt,Rang,1
Ort,Transportmittel,Objekt,1
Staat,Dienstreise,Teileinheit,1
Wiki-form,Verbrechen,Gemeinschaft,1
Fahrtzweck,Kennenlernen,Tätigkeit,1
Erziehungszweck,Wiki-form,Klassifikation,1
Beförderungsklasse,Ausgabe,Lebewesen,1
Schulreise,Sicherheit,Zustand,1
Staat,Schild,Beziehung,1
Arbeitsanweisung,Richter,Verwendungszweck,1
Erziehungszweck,Regelung,Anzahl,1
Ort,Gastfamilie,Möglichkeit,1
Musterschule,Art,Einrichtung,1
Wagenklasse,Frau,Abschnitt,1
Reiseform,Trivialschema,Konzeption,1
Form,Österreich,Gebiet,1
Zweck,Gesellschaft,Gruppe,1
Leistung,Erziehungsarbeit,Platz,1
Studienfahrt,Leistung,Art,1
Wagenklasse,Erziehungszweck,Klasse,1
Wiki-form,Bahn,Darstellung,1
Familie,Verb,Vermögen,1
Beförderungsklasse,Interesse,Klasse,1
Reiseform,Roman,Zelle,1
Arbeitsgesetz,Verbrechen,Verhalten,1
Beförderungsklasse,Arbeit,Truppenteil,1
Linienverkehr,Soldat,Art,1
Beförderungsklasse,Dienstreise,Handlung,1
Reiseverkehr,Form,Raum,1
Freizeitverkehr,Verbrechen,Raum,1
Leistung,Aufenthalt,Gebiet,1
Klasse,Deutschland,Gebiet,1
Leistung,Betrieb,Unternehmung,1
Fahrtenprogramm,Außendienst,Programm,1
Aufenthalt,Gefährdungsbeurteilung,Text,1
Lernen,Unternehmen,juristische,1
Schulfahrt,Forschungsweltreise,Bewegung,1
Schulprogramm,Ort,Teil,1
Transitstaat,Roman,Einheit,1
Pflicht,Tätigkeit,Berufstätigkeit,1
Schulbusschild,Reisegrund,Vorstellung,1
Tätigkeit,Gastfamilie,Eltern,1
Beförderungsklasse,Bundesland,Teil,1
Deutschland,Verb,Relevanz,1
Wagenklasse,Außendienst,Zahl,1
Dienst,Mediumeninteresse,Geschehnis,1
Klasse,Dienstreise,Truppenteil,1
Fahrtzweck,Arbeitsstätte,Objekt,1
Außendienst,Art,Platz,1
Wagenklasse,Reisegrund,Ergebnis,1
Fahrtzweck,Science-fiction-roman,Abteilung,1
Integrationsmilieu,Regelleistung,Gesamtheit,1
Schulfahrt,Beförderungsklasse,Kategorie,1
Fahrtzweck,Information,Konzeption,1
Arbeitszeit,Gesellschaft,Gegenstand,1
Dienstreiseverkehr,Frau,Beziehung,1
Erziehungsarbeit,Betrieb,Unternehmung,1
Musterschule,Soldat,Anzahl,1
Erziehungszweck,Mensch,Partnern,1
Wagenklasse,Regelarbeitszeit,Einheit,1
Studienfahrt,Klassenfahrt,Gemütszustand,1
Reiseform,Schiff,Teileinheit,1
Transitstaat,Unterrichtsgang,Verhältnis,1
Musterschule,Unterhaltungsbetrieb,Plural,1
Klasse,Soldat,Art,1
Beförderungsklasse,Dienst,Rang,1
Fahrt,Art,Anzahl,1
Wohnsitzstaat,Verein,Einheit,1
Zweck,Hippie-generation,Großeltern,1
Milieu,Einsatzorganisation,Gesamtheit,1
Einkommensteuergesetz,Soldat,Lebewesen,1
Bundesreisekostengesetz,Familie,Darstellung,1
Beförderungsklasse,Verbrechen,Rang,1
Motivation,Kennenlernen,Ergebnis,1
Regelleistung,Tätigkeit,Ablauf,1
Klasse,Außendienst,Teil,1
Arbeitsleistung,Unterweisung,Unternehmen,1
Fahrtzweck,Teil,Konzept,1
Reiseführer,Möglichkeit,Vermögen,1
Reiseführer,Unterrichtsgang,Gang,1
Sicherheit,Verbreitung,Domäne,1
Grund,Gesellschaft,Wert,1
Wiki-form,Schild,Endzustand,1
Lernen,Transportmittel,Gewinn,1
Musterschule,Eisenbahn,Menge,1
Schülerfahrt,Ausgabe,Zustand,1
Fahrt,Sicherheit,Kategorie,1
Ort,Thema,Objekt,1
Zweck,Übernachtung,Einheit,1
Tätigkeit,Gastfamilie,Klassifikation,1
Wagenklasse,Lernen,Kanton,1
Klasse,Vorschuss,Teileinheit,1
Arbeitszeit,Art,Gegenstand,1
Hochkulturschema,Zahl,Vorstellung,1
Beförderungsklasse,Erziehungsarbeit,Rang,1
Klasse,Jahr,Teileinheit,1
Wiki-form,Zahl,Anzahl,1
Dienst,Dienstreise,Blatt,1
Wiki-form,Stelle,Taxon,1
Arbeitsleistung,Arbeitgeber,Unternehmen,1
Zeit,Jahrhundert,Gegenwart,1
Arbeitsleistung,Regelleistung,Ortgang,1
Freizeitverkehr,Abi-reise,Gemütszustand,1
Linienverkehr,Schule,Raum,1
Wiki-form,Bahn,Familie,1
Reiseform,Regelung,Güte,1
Schulprogramm,Weltreiseführer,Bezeichnung,1
Schild,Bahn,Bezug,1
Schule,Privatwirtschaft,Schicht,1
Dienstgeschäft,Arbeitgeber,Form,1
Fahrtzweck,Wohnung,Raum,1
Regelarbeitszeit,Betrieb,Moment,1
Zweck,Stelle,Sinn,1
Regelleistung,Übernachtung,Platz,1
Schild,Welt,Wohnung,1
Betrieb,Stelle,Ausdruck,1
Schulfahrt,Abi-reise,Betätigung,1
Zweck,Auswärtstätigkeit,Tätigkeit,1
Reiseverkehr,Klassenfahrt,Wechsel,1
Nicht-schengen-staat,Reisegrund,Ergebnis,1
Wagenklasse,Roman,Abbildung,1
Fahrtzweck,Wiki-form,Gemeinschaft,1
Reiseverkehr,Reiseart,Raum,1
Arbeit,Organisation,Ausscheidung,1
Klasse,Art,Lebewesen,1
Wiki-form,Bahn,Anzahl,1
Schulbusschild,Hochkulturschema,Vorstellung,1
Transitstaat,Wohnsitzstaat,Arbeit,1
Wagenklasse,Bestimmung,Vorgang,1
Zweck,Welt,Konzept,1
Beförderungsklasse,Dienstgang,Anstrengung,1
Leistung,Lernen,Geschäft,1
Form,Schild,Aufbau,1
Zweck,Vorschuss,Gruppe,1
Nicht-schengen-staat,Welt,Handlung,1
Beförderungsklasse,Information,Kanton,1
Grund,Deutschland,Zeichen,1
Fahrtzweck,Tätigkeit,Konzept,1
Arbeitsleistung,Studie,Unternehmung,1
Fahrt,Dienstreiseverkehr,Veränderung,1
Nicht-schengen-staat,Wohnsitzstaat,Handlung,1
Haustürgeschäft,Arbeit,Ausscheidung,1
Beförderungsklasse,Tätigkeit,Güte,1
Zweck,Familie,Gebiet,1
Arbeitspflicht,Lernen,Anstrengung,1
Reiseverkehr,Klassenfahrt,Verfassung,1
Erziehungszweck,Schiff,Teileinheit,1
Einkommensteuergesetz,Arbeitgeber,Mensch,1
Klasse,Fahrtzweck,Element,1
Fahrt,Betrieb,Familie,1
Erziehungszweck,Gastfamilie,Relation,1
Musterschule,Schulbus,Gerät,1
Schild,Unternehmen,Gericht,1
Nicht-schengen-staat,Wagenklasse,Einheit,1
Form,Anfangphase,Bereich,1
Erziehungszweck,Dienstgang,Anzahl,1
Reiseverkehr,Kraftfahrer,Verbindung,1
Transitstaat,Rahmen,Einheit,1
Wagenklasse,Wohnung,Zahl,1
Europa,Asien,Bestandteil,1
Musterschule,Art,Platz,1
Frauenfahrt,Fahrt,Veränderung,1
Studienfahrt,Erziehungszweck,Klasse,1
Schülerfahrt,Welt,Gruppe,1
Leistung,Organisation,Plural,1
Schulfahrt,Wiki-form,Art,1
Linienverkehr,Auswärtstätigkeit,Zustand,1
Fahrtzweck,Dienstgang,Abteilung,1
Beförderungsklasse,Österreich,Ergebnis,1
Transitstaat,Nielsen,Mittel,1
Dienstreiseverkehr,Linienverkehr,Raum,1
Klasse,Hippie-bewegung,Gruppe,1
Wagenklasse,Betrieb,Ortgang,1
Erziehungszweck,Generation,Großeltern,1
Erziehungszweck,Dienstgang,Zelle,1
Zweck,Unterhaltungsbetrieb,Vorgang,1
Flug,Weltumrundung,Reise,1
Übernachtungskosten,Unterrichtsgang,Energie,1
Europa,Asien,Staaten,1
Schule,Ziel,Ausscheidung,1
Fahrtkosten,Unterrichtsgang,Energie,1
Form,Soldat,Geologie,1
Sicherheit,Regelung,Partnern,1
Arbeitsleistung,Deutschland,Bereich,1
Betriebsausgabe,Arbeitsstätte,Objekt,1
Nicht-schengen-staat,Unternehmen,Einheit,1
Schülerfahrt,Regelung,Kategorie,1
Fahrtzweck,Österreich,Handlung,1
Staat,Dienstreise,Kanton,1
Wiki-form,Reiseart,Menge,1
Einkommensteuergesetz,Unterweisung,Person,1
Studienfahrt,Zweck,Art,1
Erziehungszweck,Verb,Modell,1
Wagenklasse,Schild,Anzahl,1
Reiseform,Bezug,Anzahl,1
Ort,Aufenthalt,Text,1
Wagenklasse,Unternehmen,Teileinheit,1
Arbeitsleistung,Strandaufenthalt,Bereich,1
Regelleistung,Richtung,Aktion,1
Nicht-schengen-staat,Lernen,Gesamtheit,1
Beförderungsklasse,Tätigkeit,Teileinheit,1
Klasse,Verbreitung,Raum,1
Arbeitsleistung,Regelleistung,Handlung,1
Reiseform,Verbreitung,Zelle,1
Motivation,Arbeit,Ergebnis,1
Straßenverbindung,Verbindung,Organisation,1
Fahrt,Verbrechen,Domäne,1
Transitstaat,Leistung,Energie,1
Reiseverkehr,Tramper-bewegung,Zustand,1
Form,Tätigkeit,Schicht,1
Woche,August,Zeitspanne,1
Betriebsausgabe,Schülerliste,Wort,1
Arbeitsleistung,Österreich,Bereich,1
Regelleistung,Familie,Plural,1
Linienverkehr,Schüler,Gericht,1
Beförderungsklasse,Klasse,Tätigkeit,1
Erziehungszweck,Teil,Tätigkeit,1
Reiseform,Eisenbahn,Teileinheit,1
Schulfahrt,Schülerfahrt,Gemütszustand,1
Klasse,Trampertreffen,Geschäft,1
Wagenklasse,Beförderungsklasse,Ort,1
Freizeitverkehr,Hippie-bewegung,Zustand,1
Dienst,Privatwirtschaft,Einrichtung,1
Nicht-schengen-staat,Jahrhundert,Gesamtheit,1
Schulfahrt,Reisen,Betrieb,1
Deutschland,Bahn,Bekleidung,1
Klasse,Science-fiction-roman,Gegenstand,1
Auswärtstätigkeit,Roman,Zeitabschnitt,1
Auto,Autofahrer,Sternbild,1
Wagenklasse,Mensch,Gruppe,1
Nicht-schengen-staat,Einsatzorganisation,Handlung,1
Übernachtungskosten,Bahn,Aufwand,1
Musterschule,Privatwirtschaft,Gerät,1
Integrationsmilieu,Fahren,Gesamtheit,1
Erziehungszweck,Schild,Gestalt,1
Fahrt,Bedeutung,Ordnung,1
Schule,Grund,Güte,1
Klasse,Verbreitung,Handlung,1
Außendienst,Aufenthalt,Platz,1
Staat,Dienststelle,Ort,1
Haustürgeschäft,Grund,Berufstätigkeit,1
Wagenklasse,Roman,Teileinheit,1
Beförderungsklasse,Familie,Platz,1
Nicht-schengen-staat,Privatwirtschaft,Handlung,1
Staat,Form,Gebiet,1
Arbeitsleistung,Verbrechen,Handlung,1
Form,Arbeitsleistung,Ort,1
Land,Europa,Gegend,1
Fahrt,Kraftfahrer,Art,1
Wohnsitzstaat,Arbeitsleistung,Bereich,1
Schülerfahrt,Art,Ordnung,1
Fahrt,Hochkulturschema,Konzeption,1
Reiseverkehr,Schulreise,Zustand,1
Schild,Dienstgang,Theorie,1
Zweck,Wohnung,Möglichkeit,1
Wiki-form,Zeit,Teileinheit,1
Transitstaat,Reisegrund,Einheit,1
Klasse,Autor,Person,1
Tätigkeit,Mediumeninteresse,Unternehmung,1
Schild,Familie,Wissenschaft,1
Fahrtzweck,Teil,Objekt,1
Staat,Fahren,Verhalten,1
Schulfahrt,Schülerfahrt,Verhältnis,1
Reiseverkehr,Interesse,Zustand,1
Wiki-form,Reiseart,Großeltern,1
Beförderungsklasse,Reiseziel,Einheit,1
Schülerfahrt,Art,Eigenschaft,1
Jahr,Erledigung,Zeitabschnitt,1
Dienstreiseverkehr,Hippie-bewegung,Betätigung,1
Reiseform,Hochkulturschema,Truppenteil,1
Wagenklasse,Schweiz,Tätigkeit,1
Frauenfahrt,Arbeit,Zustand,1
Studienfahrt,Klassenfahrt,Ordnung,1
Ort,Beurteilung,Betriebsstätte,1
Fahrtenprogramm,Verb,Element,1
Fahrt,Richter,Ordnung,1
Arbeitsleistung,Richtung,Bereich,1
Fahrt,Soldat,Gruppe,1
Wiki-form,Sicherheit,Konzeption,1
Schild,Wohlfahrtsverband,Gerät,1
Klasse,Erziehungszweck,Einheit,1
Regelleistung,Arbeitsstätte,Werkzeug,1
Wiki-form,Unterrichtsgang,Schicht,1
Schülerfahrt,Durchführung,Taxon,1
Wiki-form,Musterschule,Anzahl,1
Zweck,Schiff,Gegenstand,1
Wohnsitzstaat,Form,Truppenteil,1
Form,Schiff,Menge,1
Leistung,Unterrichtsgang,Ortgang,1
Zweck,Berg,Tätigkeit,1
Klasse,Erledigung,Aufwand,1
Schülerfahrt,Geschichte,Gruppe,1
Transitstaat,Arbeitsleistung,Ergebnis,1
Schüler,Kraftfahrer,Hausflur,1
Zweck,Eisenbahn,Gruppe,1
Straßenverbindung,Verbindung,Zusammenspiel,1
Transitstaat,Dienstreise,Verhältnis,1
Studienfahrt,Klassenfahrt,Konzeption,1
Fahrtzweck,Grund,Schicht,1
Zweck,Verb,Domäne,1
Nicht-schengen-staat,Beförderungsklasse,Handlung,1
Frauenfahrt,Dienstreise,Gemütszustand,1
Schule,Welt,Wohnung,1
Studienfahrt,Arbeitgeber,Gruppe,1
Vorphase,Woche,Zeit,1
Tätigkeit,Verb,Zelle,1
Deutschland,Österreich,Staaten,1
Klasse,Autofahrer,Mensch,1
Selbstverwirklichungsmilieu,Asien,Gesamtheit,1
Musterschule,Arbeitsort,Gegenstand,1
Regelleistung,Lernen,Verhalten,1
Staat,Begriff,Einheit,1
Wagenklasse,Organisation,Rang,1
Fahrt,Familie,Gattung,1
Roman,Organisation,Möglichkeit,1
Fahrt,Trivialschema,Klasse,1
Zweck,Verbreitung,Taxon,1
Klasse,Abenteuer,Teileinheit,1
Musterschule,Schild,Anzahl,1
Zweck,Arbeitsgesetz,Verhalten,1
Reiseform,Geschichte,Güte,1
Wohnsitzstaat,Tätigkeit,Einheit,1
Integrationsmilieu,Ziel,Gesamtheit,1
Schulprogramm,Welt,Gegenstand,1
Reiseform,Hippie-bewegung,Gattung,1
Wagenklasse,Geschichte,Rang,1
Erziehungszweck,Soldat,Kategorie,1
Schülerfahrt,Reiseverkehr,Zustand,1
Beförderungsklasse,Welt,Handlung,1
Form,Geschichte,Klassifikation,1
Schülerfahrt,Reisesicherheit,Eigenschaft,1
Klasse,Trivialschema,Einheit,1
Ausgabe,Geschichte,Gegenwart,1
Bundesreisekostengesetz,Dienst,Vorgang,1
Verkehrsmittel,Familie,Gerät,1
Zweck,Dienstgang,Klasse,1
Fahrtenprogramm,Programm,Blatt,1
Arbeit,Trampertreffen,Gewinn,1
Reiseführer,Richter,Objekt,1
Schulfahrt,Erziehungsarbeit,Kategorie,1
Fahrtzweck,Arbeitsanweisung,Element,1
Freizeitverkehr,Reisesicherheit,Zustand,1
Science-fiction-roman,Bahn,Relation,1
Beförderungsklasse,Regelarbeitszeit,Abschnitt,1
Zweck,Kontinent,Verein,1
Dienst,Familie,Einrichtung,1
Klasse,Arbeitsort,Einheit,1
Schule,Art,Plural,1
Fahrtzweck,Arbeitszeit,Kategorie,1
Staat,Schiff,Ortgang,1
Staat,Erziehungsarbeit,Geschäft,1
Studienfahrt,Fahrt,Zustand,1
Wagenklasse,Arbeit,Menge,1
Reiseform,Hochkulturschema,Gattung,1
Schulreise,Auslandreisen,Gemütszustand,1
Schülerfahrt,Dienstanweisung,Ordnung,1
Wagenklasse,Schweiz,Ort,1
Unterrichtsgang,Autor,Gasse,1
Fahrt,Geschäftsreise,Zustand,1
Leistung,Unterrichtsgang,Plural,1
Dienstgeschäft,Reiseführer,Mensch,1
Eisenbahn,Unternehmen,Anforderungen,1
Roman,Information,Domäne,1
Schülerfahrt,Musterschule,Gruppe,1
Fahrtzweck,Sicherheit,Raum,1
Wagenklasse,Land,Teil,1
Staat,Personenverkehrsaufwand,Energie,1
Zeit,Land,Kleidungsstück,1
Reiseform,Abenteuer,Menge,1
Wohnsitzstaat,Beförderungsklasse,Bereich,1
Arbeitsleistung,Dienst,Werkzeug,1
Freizeitverkehr,Kraftfahrer,Verbindung,1
Dienstreiseverkehr,Bedeutung,Abschnitt,1
Fahrtzweck,Deutschland,Sinn,1
Transitstaat,Jahr,Einheit,1
Staat,Gruppe,Gebiet,1
Arbeitsleistung,Arbeitsort,Ort,1
Fahrt,Roman,Rang,1
Reiseform,Außendienst,Anzahl,1
Linienverkehr,Ewr-bürger,Gang,1
Eisenbahn,Unterweisung,Durchführung,1
Schulprogramm,Schülersammelliste,Liste,1
Form,Arbeit,Grundeinheit,1
Staat,Schild,Kanton,1
Arbeitsgesetz,Autofahrer,Mensch,1
Hochphase,Landschulwoche,Gegenwart,1
Bundesreisekostengesetz,Arbeitgeber,Person,1
Vorphase,Regelarbeitszeit,Zeit,1
Arbeitsanweisung,Deutschland,Wort,1
Wiki-form,Arbeitsanweisung,Relation,1
Straßenverbindung,Europa,Verein,1
