term1,term2,related
Weltreiseführer,Inselsberg,1
Staat,Studie,1
Beförderungsklasse,Verb,1
Abgefahren,Sicherheitsregel,1
Schule,Treffen,1
Deutschland,Asien,1
Schulausflug,Weltumrundung,1
Hochkulturschema,Rechtsbegriff,1
Staat,Reiseart,1
Schulfahrt,Welt,1
Zeit,Reiseverkehrsmittel,1
Nicht-schengen-staat,Staat,1
Form,Gesellschaft,1
Reiseverkehr,Reise,1
Tätigkeit,Fahrtenerlass,1
Transitstaat,Reiseverkehr,1
Reiseverkehr,Regelung,1
Studienfahrt,Asien,1
Betriebsstätte,Science-fiction-roman,1
Schulbusschild,Wohlfahrtsverband,1
Linienverkehr,Kontinent,1
Arbeitsleistung,Durchführung,1
Nicht-schengen-staat,Beschreibung,1
Anfangphase,Literatur,1
Leistung,Schild,1
Einzelbeschreibung,Familie,1
Haustürgeschäft,Gastfamilie,1
Niveaumilieu,Beschreibung,1
Dienstreiseverkehr,Schweiz,1
Bundesreisekostengesetz,Geschichte,1
Verbindung,Bestandteil,1
Fahrtzweck,Erledigung,1
Selbstverwirklichungsmilieu,Arbeit,1
Arbeitszeit,Strandaufenthalt,1
Arbeitspflicht,Kontinent,1
Unterweisung,Verbreitung,1
Aufenthalt,Organisation,1
Abi-reise,Auslandreisen,1
Science-fiction-roman,Verbrechen,1
Unterrichtsgang,Straßenverbindung,1
Geld,Ort,1
Nicht-schengen-staat,Einzelbeschreibung,1
Roman,Gastfamilie,1
Wiki-form,Zahl,1
Roman,Straßenverbindung,1
Gefährdungsbeurteilung,Richter,1
Zweck,Außendienst,1
Programm,Schulverein,1
Arbeitsleistung,Stelle,1
Erziehungszweck,Österreich,1
Musterschule,Gefährdungsbeurteilung,1
Klasse,Bahn,1
Wegzeit,Generation,1
Fahrt,Arbeitsort,1
Zeit,Reiseführer,1
Abi-reise,Tramper-bewegung,1
Weltreise,Reisen,1
Arbeitszeit,Außendienst,1
Fahrtzweck,Trampertreffen,1
Jahr,Zahl,1
Wiki-form,Ort,1
Gefährdungsbeurteilung,Bahn,1
Milieu,Erledigung,1
Reiseverkehr,Bestandteil,1
Milieu,Schulbus,1
Bundesreisekostengesetz,Art,1
Fahrtzweck,Teil,1
Wagenklasse,Abenteuer,1
Musterschule,Schule,1
Beförderungsklasse,Tramper-bewegung,1
Jahr,Generation,1
Dienstreiseverkehr,Österreich,1
Klasse,Autofahrer,1
Zweck,Mitfahren,1
Dienstgang,Europa,1
Reiseverkehr,Musterschule,1
Schulveranstaltung,Tätigkeit,1
Reiseform,Vorschuss,1
Prestigemotivation,Mensch,1
Zweck,Gesellschaft,1
Klasse,Bezug,1
Klasse,Reiseform,1
Beurteilung,Milliarde,1
Arbeitsgesetz,Gastfamilie,1
Arbeitsort,Unterweisung,1
Arbeit,Regelung,1
Dienstreiseverkehr,Regelarbeitszeit,1
Reise,Betrieb,1
Fahrtzweck,Auto,1
Wiki-form,Schülerliste,1
Reiseführer,Science-fiction-roman,1
Wohnsitzstaat,Auto,1
Auswärtstätigkeit,Interesse,1
Wegzeit,Weltreiseführer,1
Milieu,Land,1
Transitstaat,Trampkultur,1
Schulprogramm,Asien,1
Kilometergeld,Übernachtung,1
Zeit,Berg,1
Eisenbahn,Kraftfahrzeug,1
Arbeitszeit,Unterrichtsgang,1
Studienfahrt,Arbeitsort,1
Schulfahrt,Arbeitsstätte,1
Schülerfahrt,Schule,1
Dienstgeschäft,Verbrechen,1
Haustürgeschäft,Tätigkeit,1
Transitstaat,Trampertreffen,1
Leistung,Organisation,1
Jahr,Österreich,1
Fahren,Unterweisung,1
Fahrtzweck,Hippie-bewegung,1
Übernachtungskosten,Kennenlernen,1
Leistung,Welt,1
Dienst,Dienstgang,1
Dienststätte,Grund,1
Außendienst,Strandaufenthalt,1
Staat,Reiseverkehrsmittel,1
Programm,Beurteilung,1
Zweck,Gefährdungsbeurteilung,1
Regelleistung,Geschichte,1
Reise,Welt,1
Hochphase,Schiff,1
Trennungsgeld,Bahn,1
Leistung,August,1
Reiseverkehr,Generation,1
Dienstreiseverkehr,Interesse,1
Fahrt,Tramp,1
Form,Reisegrund,1
Dienst,Aufenthalt,1
Staat,Gastfamilie,1
Niveaumilieu,Reiseverkehrsmittel,1
Leistung,Regelarbeitszeit,1
Mitfahren,Regel,1
Ausgabe,Begriff,1
Ort,Milliarde,1
Schulfahrt,Dienst,1
Wiki-form,Deutschland,1
Regelarbeitszeit,Dienstgang,1
Regelleistung,Verbrechen,1
Reiseform,Verb,1
Motivation,Beförderungsklasse,1
Leistung,Reiseverkehrsmittel,1
Reiseführer,Stelle,1
Zweck,Schüler,1
Kilometergeld,Bestimmung,1
Ausgabe,Dienstanweisung,1
Regelleistung,Anhalter,1
Arbeitspflicht,Dienstgang,1
Schülerfahrt,Anhalter,1
Arbeitsleistung,Programm,1
Nicht-schengen-staat,Auswärtstätigkeit,1
Schulprogramm,Unternehmen,1
Dienstgeschäft,Pflicht,1
Regelarbeitszeit,Österreich,1
Abgefahren,Dienststelle,1
Dauer,Gastfamilie,1
Beförderungsklasse,Trampertreffen,1
Regelleistung,Inselsberg,1
Fahrtzweck,Weblink,1
Frauenfahrt,Fahrt,1
Frauenfahrt,Auswärtstätigkeit,1
Fahrt,Rechtsbegriff,1
Leistung,Anfangphase,1
Dienstgeschäft,Arbeitsanweisung,1
Schulausflug,Flug,1
Betriebsausgabe,Familie,1
Gefährdungsbeurteilung,Bedeutung,1
Fahrt,Erziehungsarbeit,1
Schild,Soldat,1
Staat,Linienverkehr,1
Arbeitsort,Reisegrund,1
Klasse,Straßenverbindung,1
Geld,Zeitaufwand,1
Fahrtenprogramm,Reiseführer,1
Staat,Tag,1
Integrationsmilieu,Außendienst,1
Bundesreisekostengesetz,Kultur,1
Ort,Reiseführer,1
Bundesreisekostengesetz,Roman,1
Ausgabe,Ewr-bürger,1
Transitstaat,Reiseziel,1
Niveaumilieu,Land,1
Deutschland,Stelle,1
Transitstaat,Dienstanweisung,1
Reise,Lehrkraft,1
Schild,Bürger,1
Dienst,Literatur,1
Wohnsitzstaat,Treffen,1
Reiseform,Hippie-bewegung,1
Klasse,Regel,1
Zeit,Familie,1
Wiki-form,Rahmen,1
Arbeitszeit,Reiseführer,1
Regelleistung,Hochphase,1
Fahrtenprogramm,Aufenthalt,1
Klasse,Science-fiction-roman,1
Schulprogramm,Information,1
Beschreibung,Eisenbahn,1
Prestigemotivation,Roman,1
Fahrt,Asien,1
Erziehungszweck,Milliarde,1
Erziehungsarbeit,Geschichte,1
Haustürgeschäft,Arbeitsanweisung,1
Dienst,Wegzeit,1
Jahr,Dienstgang,1
Staat,August,1
Austauschjahr,Betriebsausgabe,1
Fahrt,Arbeitsstätte,1
Reise,Mensch,1
Zweck,Gruppe,1
Ort,Dienstgeschäft,1
Schulverein,Auto,1
Wagenklasse,Reiseziel,1
Zeit,Dienstanweisung,1
Schule,Beginn,1
Linienverkehr,Österreich,1
Reiseverkehr,Unterhaltungsbetrieb,1
Schülerliste,Verb,1
Transitstaat,Unternehmen,1
Schule,Übernachtung,1
Selbstverwirklichungsmilieu,Science-fiction-roman,1
Dienstreiseverkehr,Deutschland,1
Beförderungsklasse,Leistung,1
Leistung,Land,1
Fahrtzweck,Begriff,1
Betrieb,Bestimmung,1
Klasse,Eisenbahn,1
Arbeit,Verkehrsmittel,1
Wagenklasse,Beurteilung,1
Zweck,Rahmen,1
Dauer,Ausgabe,1
Schulbus,Auto,1
Art,Möglichkeit,1
Regelleistung,Ort,1
Beförderungsklasse,Gastschüler,1
Fahrt,Ziel,1
Schulbusschild,Welt,1
Einkommensteuergesetz,Anhalter,1
Studienfahrt,Dienstreiseverkehr,1
Schülerfahrt,Lernen,1
Staat,Schulbusschild,1
Staat,Erziehungsarbeit,1
Prestigemotivation,Regelleistung,1
Schule,Dienstanweisung,1
Transitstaat,Sicherheitsregel,1
Freizeitverkehr,Musterschule,1
Werbungskosten,Aufwand,1
Arbeitsleistung,Arbeitgeber,1
Beförderungsklasse,Regelung,1
Linienverkehr,Arbeitsstätte,1
Schulfahrt,Art,1
Beförderungsklasse,Verein,1
Vorphase,Aufenthalt,1
Leistung,Auswärtstätigkeit,1
Nicht-schengen-staat,Möglichkeit,1
Fahren,Teil,1
Erziehungszweck,Gefährdungsbeurteilung,1
Form,Übernachtung,1
Ausgabe,Bürger,1
Fahrt,Land,1
Taggeld,Übernachtung,1
Verein,Organisation,1
Auswärtstätigkeit,Stelle,1
Kennenlernen,Ziel,1
Reiseführer,Jahrhundert,1
Zahl,Bahn,1
Geld,Nicht-schengen-staat,1
Schulausflug,Dienstreise,1
Klasse,Mensch,1
Milieu,Verb,1
Arbeit,Stelle,1
Schild,Dienstanweisung,1
Schulbus,Kraftfahrzeug,1
Zeit,Schülersammelliste,1
Fahrtenprogramm,Mensch,1
Ausgabe,Trivialschema,1
Taggeld,Kilometergeld,1
Art,Richter,1
Fahrtzweck,Wohnung,1
Fahrt,Musterschule,1
Arbeitsleistung,Betrieb,1
Vorphase,Europa,1
Arbeitsanweisung,Arbeitsstätte,1
Fahrtzweck,Studie,1
Schülerfahrt,Betriebsausgabe,1
Studienfahrt,Tramp,1
Nicht-schengen-staat,Studie,1
Arbeitspflicht,Deutschland,1
Klasse,Betriebsausgabe,1
Außendienst,Kraftfahrzeug,1
Wiki-form,Schiff,1
Zeit,Haustürgeschäft,1
Regelarbeitszeit,Science-fiction-roman,1
Auto,Eisenbahn,1
Wagenklasse,Begriff,1
Schülerfahrt,Kontinent,1
Milieu,Schweiz,1
Werbungskosten,Pflicht,1
Zweck,Reiseziel,1
Reise,Tramper-bewegung,1
Zeit,Geschichte,1
Bedeutung,Bahn,1
Nicht-schengen-staat,Schiff,1
Freizeitverkehr,Ort,1
Fahrt,Familie,1
Klasse,Hippie-bewegung,1
Reiseform,Frau,1
Transitstaat,Privatwirtschaft,1
Betriebsausgabe,Bestandteil,1
Leistung,Tramp,1
Freizeitverkehr,Hippie-generation,1
Schülerfahrt,Schülersammelliste,1
Arbeitsort,Mensch,1
Deutschland,Teil,1
Betrieb,Stelle,1
Trennungsgeld,Aufwand,1
Arbeitsort,Stelle,1
Kilometergeld,Leistung,1
Dienstgang,Landschulwoche,1
Schild,Art,1
Schulbusschild,Zahl,1
Programm,Kontinent,1
Unterhaltungsbetrieb,Betrieb,1
Dienststätte,Science-fiction-roman,1
Ort,Thema,1
Transitstaat,Stelle,1
Zeit,Unterweisung,1
Arbeitszeit,Auswärtstätigkeit,1
Integrationsmilieu,Verein,1
Schulreise,Betrieb,1
Ausgabe,Landschulwoche,1
Erziehungszweck,Trampertreffen,1
Ausgabe,Monat,1
Jahr,Geschichte,1
Arbeitszeit,Transportmittel,1
Schule,Straßenverbindung,1
Übernachtungskosten,Strandaufenthalt,1
Schulreise,Schulausflug,1
Leistung,Schulbus,1
Verbindung,Europa,1
Nicht-schengen-staat,Weltreiseführer,1
Dienstgang,Unterrichtsgang,1
Fahrt,Transitstaat,1
Beförderungsklasse,Stelle,1
Schulfahrt,Schulverein,1
Beschreibung,Durchführung,1
Integrationsmilieu,Erziehungsarbeit,1
Integrationsmilieu,Roman,1
Fahrt,Lernen,1
Matura-reise,Auslandreisen,1
Fahrt,Gesellschaft,1
Zeit,Betrieb,1
Reiseform,Erholung,1
Arbeit,Auto,1
Musterschule,Dauer,1
Austauschjahr,Bestimmung,1
Form,Schule,1
Klasse,Schulprogramm,1
Deutschland,Frau,1
Beförderungsklasse,Tag,1
Fahrt,Weltreise,1
Schülerfahrt,Wohlfahrtsverband,1
Bundesreisekostengesetz,Dienstgeschäft,1
Dienstreiseverkehr,Weblink,1
Grund,Begriff,1
Dienstgeschäft,Deutschland,1
Frauenfahrt,Bezug,1
Schild,Schiff,1
Schulprogramm,Frau,1
Berg,Bestandteil,1
Fahrtzweck,Hippie-generation,1
Fahren,Musterschule,1
Taggeld,Schild,1
Inselsberg,Berg,1
Wagenklasse,Unterhaltungsbetrieb,1
Schulverein,Eisenbahn,1
Tätigkeit,Arbeitsanweisung,1
Dienstgeschäft,Gesellschaft,1
Taggeld,Nielsen,1
Linienverkehr,Außendienst,1
Taggeld,Schule,1
Lehrkraft,Autor,1
Wiki-form,Hippie-bewegung,1
Eisenbahn,Abenteuer,1
Freizeitverkehr,Beurteilung,1
Werbungskosten,Deutschland,1
Schüler,Europa,1
Frauenfahrt,Wagenklasse,1
Tätigkeit,Treffen,1
Wohnsitzstaat,Niveaumilieu,1
Fahrt,Fahrtzweck,1
Fahrtzweck,Grund,1
Nicht-schengen-staat,Außendienst,1
Linienverkehr,Bezug,1
Klasse,Dienstreise,1
Arbeitszeit,Beginn,1
Staat,Einsatzorganisation,1
Motivation,Land,1
Regelleistung,Schüler,1
Einkommensteuergesetz,Soldat,1
Reiseverkehrsmittel,Schild,1
Schulreise,Weltreise,1
Form,Kraftfahrer,1
Vorphase,Mitnahme,1
Nicht-schengen-staat,Schule,1
Tätigkeit,Erziehungsarbeit,1
Anfangphase,Tätigkeit,1
Wegzeit,Regelung,1
Wohnsitzstaat,Hippie-bewegung,1
Reiseform,Reiseart,1
Linienverkehr,Reisedauer,1
Woche,Tag,1
Schulfahrt,Mitnahme,1
Bedeutung,Rahmen,1
Schülerfahrt,Reise,1
Reiseverkehr,Mitnahme,1
Verein,Land,1
Staat,Erledigung,1
Dienstreiseverkehr,Weltreiseführer,1
Staat,Hippie-bewegung,1
Zweck,Wohnung,1
Wagenklasse,August,1
Fahrtzweck,Tag,1
Fahrtzweck,Bedeutung,1
Dienstgeschäft,Ziel,1
Programm,August,1
Transitstaat,Geschichte,1
Arbeitsgesetz,Stelle,1
Roman,Verein,1
Fahrtenprogramm,Teil,1
Wegzeit,Unterhaltungsbetrieb,1
Schulbusschild,Privatwirtschaft,1
Beförderungsklasse,Regelleistung,1
Arbeitsanweisung,Fahrtenerlass,1
Wegzeit,Frau,1
Außendienst,Verkehrsmittel,1
Prestigemotivation,Motivation,1
Außendienst,Einzelbeschreibung,1
Dienstreiseverkehr,Bedeutung,1
Form,Monat,1
Linienverkehr,Gastfamilie,1
Reisegrund,Band,1
Frauenfahrt,Begriff,1
Nicht-schengen-staat,Stelle,1
Milieu,Durchführung,1
Einkommensteuergesetz,Pflicht,1
Hochphase,Tag,1
Fahrtenprogramm,Dauer,1
Organisation,Transportmittel,1
Wohnsitzstaat,Dienst,1
Freizeitverkehr,Roman,1
Fahren,Dienst,1
Erziehungszweck,Reisegrund,1
Musterschule,Richtung,1
Ausgabe,Band,1
Studienfahrt,Bürger,1
Linienverkehr,Interesse,1
Beförderungsklasse,Bundesland,1
Außendienst,Schülerliste,1
Zweck,Woche,1
Haustürgeschäft,Teil,1
Science-fiction-roman,Verbreitung,1
Arbeitszeit,Privatwirtschaft,1
Unterrichtsgang,Verb,1
Hochphase,Betriebsausgabe,1
Linienverkehr,Weltreiseführer,1
Regelarbeitszeit,Wohnung,1
Programm,Europa,1
Dienstreiseverkehr,Außendienst,1
Gastschüler,Flug,1
Milieu,Arbeit,1
Erziehungszweck,Wiki-form,1
Arbeitszeit,Science-fiction-roman,1
Hochphase,Schule,1
Dienstreiseverkehr,Zeit,1
Jahr,Reisegrund,1
Reiseform,Wandererlass,1
Land,Weblink,1
Verkehrsmittel,Privatwirtschaft,1
Regelleistung,Schweiz,1
Unterrichtsveranstaltung,Dienstgeschäft,1
Milieu,Sicherheitsregel,1
Art,Welt,1
Schulprogramm,Schule,1
Erziehungszweck,Caritasverband,1
Vorphase,Unterrichtsgang,1
Musterschule,Mensch,1
Ort,Schülersammelliste,1
Übernachtungskosten,Nielsen,1
Einkommensteuergesetz,Jahrhundert,1
Außendienst,Gefährdungsbeurteilung,1
Programm,Erledigung,1
Wohnsitzstaat,Inselsberg,1
Dienstgeschäft,Lernen,1
Fahrt,Tramper-bewegung,1
Musterschule,Bestimmung,1
Schule,Ort,1
Musterschule,Arbeitsanweisung,1
Fahrtzweck,Wegzeit,1
Musterschule,Bedeutung,1
Motivation,Fahrtenprogramm,1
Zweck,Gastfamilie,1
Hauptmotivation,Grund,1
Bundesreisekostengesetz,Hippie-generation,1
Fahrt,Wohlfahrtsverband,1
Arbeitsleistung,Beginn,1
Wegzeit,Auswärtstätigkeit,1
Motivation,Außendienst,1
Schule,Gesellschaft,1
Dauer,Beurteilung,1
Fahrt,Arbeitsanweisung,1
Programm,Fahrzeug,1
Verbindung,Arbeitsanweisung,1
Erziehungszweck,Austauschjahr,1
Hochphase,Roman,1
Unterrichtsgang,Dienstreise,1
Wohnsitzstaat,Hochphase,1
Programm,Reisegrund,1
Betriebsausgabe,Gastfamilie,1
Reiseführer,Familie,1
Wiki-form,Schule,1
Nächtigungsgeld,Reiseverkehrsmittel,1
Erziehungszweck,Reiseform,1
Arbeitsleistung,Jahr,1
Beförderungsklasse,Schulbus,1
Verkehrsmittel,Caritasverband,1
Dienst,Haustürgeschäft,1
Science-fiction-roman,Hippie-generation,1
Bedeutung,Unternehmen,1
Schülerfahrt,Dienstgeschäft,1
Motivation,Verb,1
Regelarbeitszeit,Arbeitsstätte,1
Integrationsmilieu,Dienst,1
Schulprogramm,Beurteilung,1
Programm,Betriebsausgabe,1
Übernachtungskosten,Arbeitsleistung,1
Einkommensteuergesetz,Berg,1
Dienstreiseverkehr,Wohnung,1
Grund,Berg,1
Studienfahrt,Reisen,1
Hippie-bewegung,Betrieb,1
Hochphase,Organisation,1
Reise,Erziehungsarbeit,1
Programm,Außendienst,1
Einsatzorganisation,Verbindung,1
Linienverkehr,Zweck,1
Freizeitverkehr,Straßenverbindung,1
Familie,Teil,1
Dauer,Auswärtstätigkeit,1
Beförderungsklasse,Personenverkehrsaufwand,1
Abenteuer,Gesellschaft,1
Reisedauer,Betrieb,1
Transitstaat,Reiseart,1
Kennenlernen,Information,1
Programm,Berg,1
Erziehungsarbeit,Verbreitung,1
Hauptmotivation,Stelle,1
Freizeitverkehr,Bürger,1
Autofahrer,Fahrer,1
Trennungsgeld,Reiseverkehrsmittel,1
Leistung,Transportmittel,1
Schild,Dienststelle,1
Schulprogramm,Verein,1
Reiseführer,Unterrichtsgang,1
Schulfahrt,Freizeitverkehr,1
Dienstgeschäft,Regelung,1
Linienverkehr,Rahmen,1
Klasse,Deutschland,1
Linienverkehr,Inselsberg,1
Dienstreiseverkehr,Bezug,1
Kosten,Pflicht,1
Form,Verein,1
Frauenfahrt,Schüler,1
Dienst,Organisation,1
Wiki-form,Betriebsausgabe,1
Leistung,Dienst,1
Trennungsgeld,Erledigung,1
Fahren,Flug,1
Nicht-schengen-staat,Wohlfahrtsverband,1
Arbeitsleistung,Unterweisung,1
Regelarbeitszeit,Mensch,1
Beurteilung,Wohnung,1
Fahrt,Transportmittel,1
Klasse,Fahrtzweck,1
Betriebsausgabe,Gefährdungsbeurteilung,1
Wohnsitzstaat,Sicherheit,1
Wagenklasse,Inselsberg,1
Arbeit,Bestandteil,1
Schüler,Bahn,1
Klasse,Wiki-form,1
Regelleistung,Stelle,1
Wiki-form,Unterhaltungsbetrieb,1
Grund,Gruppe,1
Dienst,Verkehrsmittel,1
Zweck,Zeit,1
Regelleistung,Reisegrund,1
Erziehungszweck,Band,1
Arbeitsleistung,Abenteuer,1
Fahrt,Monat,1
Reisegrund,Begriff,1
Reiseverkehr,Hochkulturschema,1
Schule,Fahrzeug,1
Studienfahrt,Hochphase,1
Vorphase,Hippie-bewegung,1
Haustürgeschäft,Einsatzorganisation,1
Dauer,Geschichte,1
Science-fiction-roman,Bahn,1
Schule,Jahr,1
Prestigemotivation,Bahn,1
Beschreibung,Bahn,1
Musterschule,Inselsberg,1
Erziehungsarbeit,Unterhaltungsbetrieb,1
Fahrtzweck,Straßenverbindung,1
Dienst,August,1
Arbeitsgesetz,Schweiz,1
Grund,Bestimmung,1
Zeit,Betriebsausgabe,1
Transitstaat,Nielsen,1
Außendienst,Auswärtstätigkeit,1
Schule,Dienstgeschäft,1
Übernachtungskosten,Mensch,1
Fahrt,Eisenbahn,1
Aufenthalt,Science-fiction-roman,1
Studienfahrt,Begriff,1
Beförderungsklasse,Arbeitgeber,1
Haustürgeschäft,Band,1
Erziehungszweck,Beurteilung,1
Nächtigungsgeld,Eisenbahn,1
Reiseverkehr,Dienstgang,1
Geld,Richtung,1
Schulfahrt,Studienfahrt,1
Zweck,Auswärtstätigkeit,1
Taggeld,Wohnsitzstaat,1
Schulfahrt,Monat,1
Leistung,Trampertreffen,1
Bundesland,Bahn,1
Organisation,Gastfamilie,1
Zweck,Bundesreisekostengesetz,1
Schulreise,Eisenbahn,1
Form,Betriebsausgabe,1
Studienfahrt,Bedeutung,1
Übernachtungskosten,Zeitaufwand,1
Reiseverkehr,Woche,1
Schulbusschild,Soldat,1
Wagenklasse,Arbeitgeber,1
Musterschule,Aufenthalt,1
Form,Interesse,1
Reiseführer,Schulverein,1
Regelarbeitszeit,Weltreiseführer,1
Studienfahrt,Fernflug,1
Anfangphase,August,1
Transitstaat,Zeitaufwand,1
Schulprogramm,Richter,1
Mitfahren,Fernflug,1
Austauschjahr,Erholung,1
Reiseführer,Bedeutung,1
Trivialschema,Geschichte,1
Transitstaat,Reisekosten,1
Beförderungsklasse,Treffen,1
Weltreiseführer,Arbeitsanweisung,1
Kosten,Erziehungsarbeit,1
Beförderungsklasse,Reisesicherheit,1
Organisation,Art,1
Klasse,Unterweisung,1
Schülerfahrt,Wiki-form,1
Schulfahrt,Information,1
Arbeit,Fahrer,1
Reisedauer,Geschichte,1
Reiseform,Klassenfahrt,1
Arbeit,Übernachtung,1
Bundesreisekostengesetz,Wohnung,1
Regelarbeitszeit,Dienstanweisung,1
Wegzeit,Gastfamilie,1
Erziehungszweck,Hippie-bewegung,1
Schild,Unterrichtsgang,1
Unterrichtsgang,Unternehmen,1
Straßenverbindung,Asien,1
Hochphase,Erholung,1
Wagenklasse,Dienstgang,1
Musterschule,Science-fiction-roman,1
Arbeitsleistung,Frau,1
Beförderungsklasse,Bürger,1
Familie,Bedeutung,1
Arbeitsgesetz,Generation,1
Wohnsitzstaat,Schulprogramm,1
Arbeitsort,Reiseführer,1
Trivialschema,Welt,1
Einkommensteuergesetz,Gastschüler,1
Reiseverkehr,Ort,1
Arbeitsleistung,Caritasverband,1
Klassenfahrt,Unterhaltungsbetrieb,1
Regelarbeitszeit,Tätigkeit,1
Schulbus,Arbeitsanweisung,1
Pflicht,Betrieb,1
Schulfahrt,Dienstgeschäft,1
Trennungsgeld,Arbeitsort,1
Trennungsgeld,Organisation,1
Programm,Unterweisung,1
Zweck,Inselsberg,1
Haustürgeschäft,Ewr-bürger,1
Programm,Gefährdungsbeurteilung,1
Klasse,Hochkulturschema,1
Schülerfahrt,Arbeitsort,1
Ort,Bedeutung,1
Integrationsmilieu,Schulbus,1
Dienstgeschäft,Interesse,1
Erziehungszweck,Schüler,1
Programm,Ort,1
Nicht-schengen-staat,Beförderungsklasse,1
Jahr,Hippie-generation,1
Einkommensteuergesetz,Betriebsausgabe,1
Werbungskosten,Land,1
Tag,Jahrhundert,1
Erziehungsarbeit,Betrieb,1
Leistung,Regelung,1
Niveaumilieu,Literatur,1
Transitstaat,Bedeutung,1
Reise,Dienstreise,1
Reiseverkehr,Schulreise,1
Vorphase,Band,1
Wiki-form,Reiseart,1
Schulbusschild,Schülersammelliste,1
Wagenklasse,Reiseführer,1
Einkommensteuergesetz,Autor,1
Erziehungsarbeit,Arbeit,1
Roman,Reisegrund,1
Forschungsweltreise,Schulausflug,1
Roman,Dienstgang,1
Musterschule,Bezug,1
Nicht-schengen-staat,Autofahrer,1
Staat,Abgefahren,1
Wohnsitzstaat,Wiki-form,1
Erziehungszweck,Information,1
Band,Asien,1
Beurteilung,Information,1
Dienstreiseverkehr,Landschulwoche,1
Verkehrsmittel,Verbindung,1
Beschreibung,Verein,1
Zeit,Landschulwoche,1
Schulprogramm,Schulbus,1
Regelleistung,Unterhaltungsbetrieb,1
Klasse,Zeitaufwand,1
Schulprogramm,Beginn,1
Unternehmen,Verbreitung,1
Austauschjahr,Dienst,1
Verbindung,Privatwirtschaft,1
Schülerfahrt,Reiseführer,1
Fahren,Dienststelle,1
Zweck,Weltreiseführer,1
Staat,Österreich,1
Haustürgeschäft,Ausgabe,1
Leistung,Vorschuss,1
Welt,Weblink,1
Unterrichtsgang,Beurteilung,1
Schule,Unterhaltungsbetrieb,1
Einkommensteuergesetz,Zahl,1
Einsatzorganisation,Dienstgang,1
Interesse,Bahn,1
Wiki-form,Reisesicherheit,1
Dienstreiseverkehr,Reiseverkehr,1
Dienstreiseverkehr,Dienstgeschäft,1
Staat,Grund,1
Gastschüler,Betriebsausgabe,1
Selbstverwirklichungsmilieu,Dienst,1
Schulprogramm,Soldat,1
Form,Milliarde,1
Hippie-bewegung,Dienstreise,1
Form,Information,1
Milieu,Einsatzorganisation,1
Wohnsitzstaat,Übernachtungskosten,1
Fahrtenprogramm,Ort,1
Freizeitverkehr,Aufenthalt,1
Freizeitverkehr,Vorschuss,1
Reise,Reiseform,1
Reise,Durchführung,1
Freizeitverkehr,Dienstreise,1
Staat,Richtung,1
Arbeitgeber,Regelung,1
Tätigkeit,Rahmen,1
Außendienst,Roman,1
Form,Bestandteil,1
Wohnsitzstaat,Organisation,1
Verbindung,Transportmittel,1
Übernachtungskosten,Bahn,1
Linienverkehr,Bürger,1
Hochkulturschema,Kraftfahrzeug,1
