term1,term2,label,related
Versionsverwaltungssystem,Auflösungsmuster,Taxon,1
Windows-system,Struktur,Kategorie,1
Primärschlüssel,Nutzdaten,Schrift,1
Datenmanipulationssprache,Entwicklung,Zusammenfassung,1
Form,Format,Gestalt,1
Rdf-format,Datensatzbegrenzung,Größe,1
Computersystem,Datei,Art,1
Datenbanksprache,Dini-datenbank,Raum,1
Versionsverwaltungssystem,Datenspeichersystem,Zusammensetzen,1
Menge,Problem,Energie,1
Datumenmenge,Objektklasse,Größe,1
Objektdatenbank,Dini-datenbank,Bank,1
Datenaufsichtssprache,Dini-datenbank,Modell,1
Internet-information,Primärschlüssel,Bestand,1
Preprint-server,Verarbeitung,Konzept,1
Server,Projekt,Verzeichnis,1
Manipulationssprache,Abfragesprache,Kategorie,1
Berechnungsmodell,Stapelverarbeitung,Modell,1
Opus-server,Attribut,Ergebnis,1
System,Zustand,Zusammenfassung,1
Datenbanksprache,Rdf-format,Eigenschaft,1
Teilsprache,Telemedium,Raum,1
Anbieterserver,Preprint-server,Computer,1
Mastertabelle,Tabelle,Zusammenstellung,1
Computersystem,Nutzdaten,Gruppe,1
Muster,Menge,Raum,1
Server,Masseneinsatz,Element,1
Opus-server,Sprache,Konzept,1
Tabelle,Ereignisprotokoll,Menge,1
Datenbanksprache,Verfahren,Einheit,1
Datenmanipulationssprache,Abfragesprache,Vorstellung,1
Harvesting,Artikelnummer,Name,1
Master-server,Anbieterserver,Programm,1
System,Artikelnummer,Gefüge,1
Datenmanipulationssprache,Datenbank-)abfragesprache,System,1
Data-warehouse-system,Satz,Klasse,1
Manipulationssprache,Teil,Anzahl,1
Computersystem,Laufzeitinformation,Klasse,1
Logdatei,Datei,Messwerte,1
Datenaufsichtssprache,Objektdatenbank,Modell,1
Data-warehouse-system,Sicherheit,Zustand,1
Data-warehouse-system,Relationale-datenbank-muster,Aussehen,1
Datenbanksystem,Lastverteilung,Aussehen,1
Anwendung,Applikation,Gestalt,1
Hashtabelle,Data-warehouse-system,Anordnung,1
Mastertabelle,Lookup-tabelle,Statistik,1
Xml-format,Analysezweck,Gestalt,1
Dokumentenserver,Publikationsserver,Ergebnis,1
Laufzeitinformation,Nettodaten,Mitteilung,1
Datenbanksystem,Datenbank-)abfragesprache,Eigenschaft,1
Objektdatenbanksystem,Datumensatz,Art,1
Computersystem,Datenbanksprache,Eigenschaft,1
Manipulationssprache,Programmieraufwand,Mittel,1
Zieltabelle,Datenmanipulationssprache,Ordnung,1
Versionsverwaltungssystem,Lastenverteilung,Struktur,1
Projektdatum,Randdatum,Informationseinheit,1
Tracing,Artikelname,Name,1
Datenspeichersystem,Objektdatenbankmodell,Art,1
Fremdschlüssel,Artikelnummer,Code,1
Anbieterserver,Seite,Liste,1
Objektdatenbank,Auswertung,Sammlung,1
System,Datenspeicher,Klasse,1
Laufzeitfehler,Seite,Code,1
Datenspeicher,Projektarchiv,Konstrukt,1
History-tabelle,Tabelle,Ordnung,1
Beginning,Sprache,Person,1
Datenbankmodell,Modell,Abbildung,1
Eda-datenbank,Laufzeitfehler,Sammlung,1
Data-warehouse-system,Verfahren,Vorgang,1
Satz,Zweck,Stoff,1
Data-warehouse-system,Lastenverteilung,Zusammenfassung,1
Data-warehouse-system,Antimuster,Kategorie,1
Teilsprache,Architektur,Schicht,1
Computersystem,Bestand,Einheit,1
Hochschulschriftenserver,Anwendung,Teil,1
Preprint-server,Lösung,Konzept,1
Dokumenten-server,Datenaufsichtssprache,Konzept,1
System,Teilsprache,Kategorie,1
Publikationsserver,Software,Ergebnis,1
Manipulationssprache,Satz,Anzahl,1
Ereignisprotokolldatei,Nettodaten,Beseitigung,1
Hintergrundprogramm,Feld,Element,1
Manipulationssprache,Datum,Klasse,1
Versionsverwaltungssystem,Verfahren,Anzahl,1
Datenmanipulationssprache,Laufzeitinformation,Gruppe,1
Objektklasse,Klasse,Arbeit,1
Windows-system,Registration,Menge,1
Datenverarbeitungssprache,Fremdschlüssel,Mittel,1
Objektdatenbankmodell,Fall,Konstrukt,1
Datenspeichersystem,Ereignisprotokolldatei,Menge,1
Laufzeitfehler,Kundennummer,Ausdruck,1
Versionsverwaltungssystem,Programmzustand,Taxon,1
Datenmanipulationssprache,Dta-verfahren,Einheit,1
Data-warehouse-system,Spezialfall,Taxon,1
Manipulationssprache,Teilsprache,Vorstellung,1
Netzwerkdatenbankmodell,Name,Lebewesen,1
System,Installieren,Art,1
Data-warehouse-system,Objektdatenbanksystem,Menge,1
Datenbankmodell,Seite,Abbildung,1
Windows-system,Datenbank-)abfragesprache,Begriff,1
Information,Datumensatz,Schrift,1
E-mail-server,Hintergrundprogramm,Blatt,1
Lookup-tabelle,Lastverteilung,Struktur,1
Versionsverwaltungssystem,Dta-verfahren,Begriff,1
Versionsverwaltungssystem,Datenaufsichtssprache,Gruppe,1
Satz,Blog-eintrag,Hinweis,1
Sprache,Spezialfall,Schicht,1
Teilsprache,Registration,Güte,1
Proxyserver,Publikationsserver,Software,1
Windows-system,Datenverarbeitungssprache,Organisation,1
System,Architektur,Modell,1
Single-server,Server,Software,1
Objektdatenbanksystem,Datenspeichersystem,Art,1
Datenaufsichtssprache,Struktur,Schicht,1
Beginning,Satz,Name,1
Datenmanipulationssprache,Format,Zustand,1
System,Denormalisierungsmuster,Aussehen,1
Schlüssel,Teil,Code,1
Objektdatenbankmodell,Struktur,Person,1
Sprache,Speichermedium,Schicht,1
Datenmanipulationssprache,Modell,Zusammenfassung,1
Information,Nosql-datenbank,Güte,1
E-mail-server,Hochschulschriftenserver,Folge,1
Teil,Verfahren,Arbeit,1
Master-server,Anwendungssoftware,Folge,1
Netzwerkdatenbankmodell,Struktur,Sammlung,1
Manipulationssprache,Open-source-datenbank,Modell,1
Feldname,Medium,Sprechweise,1
Menge,Objektklasse,Masse,1
Objektdatenbanksystem,System,Zustand,1
Windows-system,System,Anzahl,1
Information,Seite,Güte,1
Tabelle,Laufzeitinformation,Zusammenfassung,1
Manipulationssprache,Speicher,Raum,1
Harvesting,Artikelname,Name,1
Master-server,Objektdatenbanksystem,Konzept,1
Datenspeichersystem,Datenaufsichtssprache,Einheit,1
Objektdatenbankmodell,Protokoll,Wesen,1
Anbieterserver,Installationsprogramm,Teil,1
Windows-system,Typ,Kategorie,1
Manipulationssprache,Fehler,Zeichen,1
Schlüssel,Artikelnummer,Ruf,1
Rdf-format,Analysezweck,Endzustand,1
Objektdatenbanksystem,Benutzerfehler,Vorgang,1
Datenbanksystem,Datenbank-)abfragesprache,Gefüge,1
Relationale-datenbank-muster,Muster,Vielzahl,1
Data-warehouse-system,Projekt,Eigenschaft,1
Fetching,Anwendungsseite,Objekt,1
Lookup-tabelle,Abhängigkeitsinformation,Ordnung,1
Primärschlüssel,Benutzerfehler,Code,1
Relationale-datenbank-muster,Dta-verfahren,Vorgang,1
Hintergrundprogramm,Projekt,Verzeichnis,1
Listen­form,Struktur,Beschwerden,1
Publikationsserver,Programm,Software,1
Processing,Quelle,Person,1
Computersystem,Manipulationssprache,Taxon,1
Master-server,Softwarelösung,Software,1
Manipulationssprache,Berechnungsmodell,Art,1
Data-warehouse-system,Speicher,Kategorie,1
Lookup-tabelle,Code,Ordnung,1
Listen­form,Seite,Abbildung,1
Windows-system,Datumenbestand,Kategorie,1
Geschäftstransaktion,Feldname,Element,1
Computersystem,Klasse,Art,1
Processing,Adressliste,Tier,1
Versionsverwaltungssystem,Objektdatenbanksystem,Schema,1
Objektdatenbanksystem,Datenaufsichtssprache,Gefüge,1
Anwendung,Applikation,Verwenden,1
Windows-system,Datenbanksprache,Einheit,1
Logdatei,Protokolldatei,Daten,1
Modeling,Warning,Vorname,1
Datenspeichersystem,Format,Eigenschaft,1
Speichermedium,Programmpaket,Material,1
Netzwerkinformation,Datei,Vermittlung,1
Fetching,Anwendung,Ruf,1
Modeling,Liste,Name,1
Schlüssel,Telemedium,Code,1
History-tabelle,Versionsverwaltungssystem,Struktur,1
Datenbankmodell,Primärschlüssel,Sammlung,1
Data-warehouse-system,Relationale-datenbank-muster,Vorgang,1
Datenmanipulationssprache,Datenbanksprache,Schema,1
Datumenmodell,Modell,Abbildung,1
Datenmanipulationssprache,Programmzustand,Rang,1
System,Listen­form,Anzahl,1
Manipulationssprache,Abhängigkeitsinformation,Gruppe,1
Hochschulschriftenserver,Edlich,Folge,1
Datenbanksprache,Nutzdaten,Kategorie,1
History-tabelle,Lookup-tabelle,Statistik,1
Systemsoftware,Anwendungsprogramm,Karten,1
Datenbanksprache,Datumenfeld,Gruppe,1
Berechnungsmodell,Format,Sammlung,1
Computersystem,Protokoll,Vielzahl,1
Data-warehouse-system,Sicherheit,Kategorie,1
Objektdatenbank,Dini-datenbank,Raum,1
Tracing,Feld,Person,1
Server,Hintergrundprogramm,Kleidungsstück,1
System,Begriff,Abbildung,1
Datenaufsichtssprache,Stapelverarbeitung,Schicht,1
Protokoll,Datumensatz,Jungtier,1
Artikelname,Medium,Wesen,1
Objektdatenbanksystem,Teilsprache,Zustand,1
Hauptspeicher,Ereignisprotokoll,Größe,1
Objektdatenbank,Telemedium,Güte,1
Name,Klasse,Lebewesen,1
Sprache,Spezialfall,Güte,1
Tabelle,Format,Art,1
Windows-system,Datumenstruktur,Taxon,1
System,Muster,Gruppe,1
Objektdatenbank,Verfahren,Schicht,1
Referenztabelle,Datenverarbeitungssprache,Struktur,1
Computersystem,Datei,Menge,1
Harvesting,Adressliste,Objekt,1
Zieltabelle,Antimuster,Anordnung,1
Datenbanksystem,Anwendung,Aufbau,1
Anwendung,Analysezweck,Anforderungen,1
Manipulationssprache,Objektdatenbank,Menge,1
Datenspeichersystem,Transaktionsprotokoll,Anzahl,1
Data-warehouse-system,Protokoll,Klasse,1
Versionsverwaltungssystem,Dini-datenbank,Einheit,1
Anbieterserver,Publikationsserver,Teil,1
Sprache,Datumenstruktur,Güte,1
Datenmanipulationssprache,Inhalt,Kategorie,1
Modeling,Artikelname,Gegenstand,1
Referenztabelle,Teilsprache,Ordnung,1
Single-server,Opus-server,Programm,1
Versionsverwaltungssystem,Code,Aussehen,1
Datenbanksprache,Abfragesprache,Sprachfamilie,1
Laufzeitinformation,Primärschlüssel,Schrift,1
Computersystem,Ascii-code,Menge,1
System,Anwendungsseite,Kategorie,1
Datenmanipulationssprache,Datumensatz,Einrichtung,1
Datenbanksystem,System,Aufbau,1
Listen­form,Datentyp,Bedeutungen,1
Computersystem,Teilsprache,Taxon,1
Netzwerkinformation,Liste,Daten,1
Peer-to-peer-netzwerk,Zweck,Material,1
System,Netzwerkinformation,Taxon,1
Fehler,Satz,Material,1
Windows-system,Liste,Aufbau,1
Objektdatenbanksystem,Speichermedium,Einrichtung,1
Logging,Telemedium,Person,1
Datumenmenge,Teil,Arbeit,1
Querverweistabelle,History-tabelle,Struktur,1
Muster,Zusammensetzen,Zen,1
Windows-system,Datumenbestand,Anzahl,1
Objektdatenbank,Gruppe,Schicht,1
Feldname,Datentyp,Lebewesen,1
Sprache,Applikation,Person,1
Windows-system,Dta-verfahren,Eigenschaft,1
Single-server,Verantwortlich,Folge,1
Teil,Publikationsverbund,Material,1
Manipulationssprache,Registration,Rang,1
Opus-server,Geschäftstransaktion,Ergebnis,1
Beginning,Anwendungsprogramm,Bezeichnung,1
System,Datumenbestand,Vielzahl,1
Hochschulschriftenserver,Entwicklung,Konzept,1
Single-server,Bestand,Konzept,1
Datenaufsichtssprache,Seite,Rang,1
Anbieterserver,Anwendungssoftware,Konzept,1
Datenspeichersystem,Attribut,Kategorie,1
Sprache,Programmzustand,Rang,1
Systementwicklung,Entwicklung,Einsatz,1
Tracing,Datentyp,Person,1
Computersystem,Datenbanksprache,Gefüge,1
Referenztabelle,Versionsverwaltungssystem,Struktur,1
Relationale-datenbank-muster,Artikelnummer,Vorgang,1
Information,Logdatei,Daten,1
Medium,Verarbeitung,Masse,1
Datenmanipulationssprache,Speichermedium,Einheit,1
Manipulationssprache,Format,Raum,1
Windows-system,Ausfallsicherheit,Zustand,1
Objektdatenbank,Datumenmenge,Raum,1
Datenbanksystem,Format,Zusammenfassung,1
Opus-server,Datumenmodell,Konzept,1
Tabellenform,Analysezweck,Bedeutungen,1
Muster,Information,Güte,1
Computersystem,Dini-datenbank,Kategorie,1
Modeling,Dokumentmenge,Person,1
Datenbanksystem,Denormalisierungsmuster,Zustand,1
Objektdatenbanksystem,Datenbanksprache,Zustand,1
Warning,Logging,Ing,1
Objektdatenbank,Tabellenform,Raum,1
Windows-system,Schlüssel,Menge,1
Preprint-server,Windows-system,Konzept,1
Hintergrundprogramm,Transaktion,Element,1
Datenspeichersystem,Sicherheitsmuster,Menge,1
Computersystem,Name,Klasse,1
Netzwerkinformation,Nutzdaten,Messwerte,1
Zieltabelle,Verarbeitung,Ordnung,1
Protokolldatei,Schlüssel,Messwerte,1
System,Form,Art,1
Netzwerkinformation,Transaktionsprotokoll,Information,1
Datenspeichersystem,Seite,Aufbau,1
Processing,Adressliste,Gegenstand,1
Data-warehouse-system,Verteilungsmuster,Zusammenfassung,1
Tabelle,Protokoll,Zusammensetzung,1
Datenspeichersystem,Klasse,Zusammensetzung,1
Datenbankmodell,Fall,Sammlung,1
Datenmanipulationssprache,Typ,Anzahl,1
Versionsverwaltungssystem,Relationale-datenbank-muster,Struktur,1
Preprint-server,Lösung,Programm,1
Speicher,Artikelname,Lebewesen,1
Objektdatenbanksystem,Datenmanipulationssprache,Schema,1
Versionsverwaltungssystem,Spezialfall,Menge,1
E-mail-server,Registration,Konzept,1
Single-server,Batch-transaktion,Teil,1
Datenbanksprache,Ascii-code,Organisation,1
Sprache,Datumenmenge,Masse,1
Datenbanksprache,Objektdatenbank,Rang,1
Manipulationssprache,Auflösungsmuster,Art,1
Internet-information,Datei,Existenz,1
Datenbankmodell,Protokoll,Lebewesen,1
Versionsverwaltungssystem,Sicherheitsmuster,Zusammensetzung,1
Versionsverwaltungssystem,Data-warehouse-system,Zusammensetzen,1
Dokumentenserver,Netzwerkdatenbankmodell,Konzept,1
Logging,Fehler,Gegenstand,1
Datenspeichersystem,Antimuster,Aussehen,1
Transaktion,Einsatz,Code,1
Datenbanksprache,Programmzustand,Güte,1
Tabelle,Problem,Zustand,1
System,Objektklasse,Menge,1
Muster,Schlüssel,Sammlung,1
Auflösungsmuster,Objektdatenbankmodell,Muster,1
Preprint-server,Entwicklung,Teil,1
Satz,Änderung,Veränderung,1
Windows-system,Kundennummer,Schema,1
Opus-server,Programm,Teil,1
Datenaufsichtssprache,Datumenstruktur,Rang,1
Manipulationssprache,Format,Eigenschaft,1
Datenbanksprache,Inhalt,Einheit,1
Computersystem,Ascii-code,Einrichtung,1
Datenmanipulationssprache,Modell,Zusammensetzung,1
Proxyserver,Systemsoftware,Teil,1
Format,Objektklasse,Lebewesen,1
Manipulationssprache,Verfahren,Güte,1
Datenspeichersystem,Spezialfall,System,1
Datenbanksprache,Paket,Gesamtheit,1
Versionsverwaltungssystem,Code,Struktur,1
Tracing,Satz,Bezeichnung,1
Proxyserver,Spezialfall,Konzept,1
Versionsverwaltungssystem,Speicher,Zusammenfassung,1
Datenspeichersystem,Information,Art,1
Windows-system,Einsatz,Gruppe,1
Protokolldatei,Datei,Auskunft,1
Zieltabelle,Internet-information,Struktur,1
Medium,Zustand,Arbeit,1
Windows-system,Gruppe,Vielzahl,1
Datenspeichersystem,Programmzustand,Zusammenfassung,1
Beginning,Zweck,Bezeichnung,1
Information,Datumenmenge,Schicht,1
Datenbankmodell,Feld,Lebewesen,1
Primärschlüssel,Datumensatz,Vermittlung,1
Master-server,Edlich,Ergebnis,1
Rdf-format,Medium,Größe,1
Schlüssel,Applikation,Ereignis,1
Windows-system,Transaktion,Einrichtung,1
System,Antimuster,Aufbau,1
Computersystem,Relationale-datenbank-muster,Eigenschaft,1
Zieltabelle,Computersystem,Ordnung,1
Tabelle,Relationale-datenbank-muster,Zusammensetzung,1
Transaktionstabelle,Verteilungsmuster,Ordnung,1
Windows-system,Verfahren,Begriff,1
System,Fremdschlüssel,Vorgang,1
Modell,Typ,Lebewesen,1
Datenbanksystem,Klasse,Vielzahl,1
Fetching,Zweck,Objekt,1
Datumenmodell,Kundennummer,Konstrukt,1
Datenverarbeitungssprache,Entwicklung,Schicht,1
Tabelle,Lastverteilung,Struktur,1
Datenmanipulationssprache,Schlüssel,Schema,1
Data-warehouse-system,Entwicklung,Zustand,1
Objektdatenbank,Entitätstyp,Schicht,1
Data-warehouse-system,Datenbanksprache,Menge,1
Single-server,Seite,Blatt,1
Datenspeichersystem,Sicherheitsmuster,Zustand,1
Publikationsserver,Code,Konzept,1
Windows-system,Auflösungsmuster,Zusammensetzung,1
Datenbanksprache,Sicherheit,Schicht,1
Computersystem,Federation,Kategorie,1
Transaktionstabelle,Schlüssel,Struktur,1
Datenbanksystem,Sprache,Anzahl,1
Teil,Programmpaket,Material,1
Logdatei,Nutzdaten,Information,1
Windows-system,Adressdaten,Einrichtung,1
Sprache,Satz,Vielzahl,1
Windows-system,Fall,Kategorie,1
Fehler,Applikation,Ereignis,1
Datenbanksystem,Verteilung,Anzahl,1
Datenverarbeitungssprache,Architektur,Schicht,1
Datenbanksprache,Ascii-code,Gefüge,1
Computersystem,Systementwicklung,Taxon,1
Data-warehouse-system,Entitätstyp,Kategorie,1
Dokumentenserver,Programm,Teil,1
Objektdatenbanksystem,Teil,Kategorie,1
Mastertabelle,Querverweistabelle,Zusammenstellung,1
Listen­form,Typ,Anforderungen,1
Datenmanipulationssprache,Muster,Raum,1
Anwendung,Typ,Endzustand,1
Datenmanipulationssprache,Form,Kategorie,1
Modeling,Sprachteil,Name,1
Fehler,Anwendung,Ereignis,1
Muster,Seite,Rang,1
Anwendungsprogramm,Geschäftstransaktion,Element,1
Hashtabelle,Fremdschlüsselbegrenzung,Mathematik,1
Anwendungsseite,Streaming-media-applikation,Form,1
Datenbanksprache,Internet-information,Gefüge,1
Entwicklung,Einsatz,Engagement,1
Manipulationssprache,Schlüssel,System,1
Proxyserver,Lösung,Software,1
Data-warehouse-system,Internet-information,Gruppe,1
Tabelle,Format,Menge,1
Manipulationssprache,Schlüssel,Gruppe,1
Data-warehouse-system,Zweck,Zustand,1
Datenbanksystem,Antimuster,Eigenschaft,1
Processing,Artikelname,Name,1
Software,Anwendung,Gegenstand,1
Zieltabelle,Liste,Ordnung,1
Datenbanksystem,Muster,Vielzahl,1
Datenbanksystem,Verwaltung,Organisation,1
Information,Adressdaten,Vermittlung,1
Objektdatenbankmodell,Laufzeitfehler,Konstrukt,1
Querverweistabelle,Computersystem,Struktur,1
Logging,Objektdatenbankmodell,Person,1
Manipulationssprache,Datei,Zusammenfassung,1
Hochschulschriftenserver,Lösung,Blatt,1
Single-server,Adressliste,Liste,1
Datenspeichersystem,Datenbankmodell,Aussehen,1
Sprache,Objektklasse,Person,1
Computersystem,Sprache,Aussehen,1
Versionsverwaltungssystem,Projekt,Anzahl,1
Logging,Fremdschlüssel,Objekt,1
Sprache,Abfragesprache,Kommunikation,1
Tabelle,Nutzungsdatum,Art,1
Datenbanksystem,Listen­form,Taxon,1
Proxyserver,Anwendungsseite,Liste,1
Windows-system,Verarbeitung,Art,1
History-tabelle,Hashtabelle,Struktur,1
Information,Struktur,Güte,1
Teilsprache,Internet-information,Kommunikation,1
Tabelle,Typ,Art,1
Datenmanipulationssprache,Abfragesprache,Sprache,1
Datenbanksprache,Datenverarbeitungssprache,Schicht,1
Opus-server,Projekt,Teil,1
Datenbanksprache,Dokumentmenge,Gruppe,1
Dokumentenserver,Master-server,Software,1
Batch-transaktion,Einsatz,Beginn,1
Datenverarbeitungssprache,Datenspeicher,Raum,1
Mastertabelle,Listen­form,Ordnung,1
Datenbanksystem,Adressdaten,Zusammenfassung,1
Sicherheitsmuster,Entwicklung,Vorgang,1
Datenmanipulationssprache,Berechnungsmodell,Menge,1
Fehler,Zweck,Stelle,1
Computersystem,Analysezweck,Gruppe,1
Datenaufsichtssprache,Nosql-datenbank,Rang,1
Datenspeichersystem,Datenverarbeitungssprache,Aufbau,1
Artikelname,Feldname,Ruf,1
Datenbanksystem,Menge,Vorgang,1
Primärschlüssel,Schlüssel,Mittel,1
Protokolldatei,Ereignisprotokolldatei,Vermittlung,1
Opus-server,Entwicklung,Folge,1
Benutzerfehler,Artikelnummer,Seite,1
Anbieterserver,Preprint-server,Liste,1
Objektdatenbanksystem,Objektdatenbank,Menge,1
Data-warehouse-system,Lastenverteilung,Menge,1
Preprint-server,Hintergrundprogramm,Liste,1
Lookup-tabelle,Data-warehouse-system,Ordnung,1
Tracing,Speichermedium,Name,1
Manipulationssprache,Einheitlich,Organisation,1
Windows-system,Klasse,Einheit,1
Datenbanksprache,Datenaufsichtssprache,Kommunikation,1
Objektdatenbanksystem,Zweck,Eigenschaft,1
Data-warehouse-system,Speicher,Einheit,1
Objektdatenbank,Zustand,Güte,1
Computersystem,Datei,Vielzahl,1
Datentyp,Zweck,Form,1
Fetching,Anwendung,Objekt,1
Datenbanksprache,Datentyp,Klasse,1
Xml-format,Typ,Anforderungen,1
Objektklasse,Systementwicklung,Energie,1
Manipulationssprache,Information,Zusammenfassung,1
Anwendungsseite,Seite,Material,1
Publikationsserver,Archivsoftware,Ergebnis,1
Datenaufsichtssprache,Teilsprache,Zeichen,1
Manipulationssprache,Sicherheit,Klasse,1
Berechnungsmodell,Objektdatenbankmodell,Muster,1
Datenbanksprache,Verteilungsmuster,Taxon,1
Manipulationssprache,Fotodatum,Art,1
Datenbankmodell,Speicher,Lebewesen,1
Datenbanksprache,Attribut,Gesamtheit,1
Windows-system,Struktur,Aufbau,1
E-mail-server,Kundennummer,Konzept,1
Windows-system,Netzwerkinformation,System,1
Datenaufsichtssprache,Sicherheit,Rang,1
Datenmanipulationssprache,Antimuster,Eigenschaft,1
Datenbanksprache,Objektdatenbank,Anzahl,1
Dokumentenserver,Anbieterserver,Software,1
Data-warehouse-system,Analysezweck,Taxon,1
Sprache,Architektur,Raum,1
Warning,Liste,Ruf,1
Datenbanksprache,Datumensatz,Einrichtung,1
Fehler,Anwendung,Code,1
Objektdatenbanksystem,Entwicklung,Taxon,1
Datenspeichersystem,Datumensatz,Kategorie,1
Datenaufsichtssprache,Information,Kommunikation,1
Tabellenform,Anwendungsseite,Endzustand,1
Windows-system,Datum,Taxon,1
Objektdatenbanksystem,Nosql-datenbank,Einheit,1
Versionsverwaltungssystem,Protokoll,Kategorie,1
Information,Verarbeitung,Güte,1
Opus-server,Data-warehouse-system,Konzept,1
Data-warehouse-system,Inhalt,Einheit,1
Objektdatenbanksystem,Manipulationssprache,Begriff,1
Tabelle,Lastverteilung,Aussehen,1
Data-warehouse-system,Systementwicklung,Eigenschaft,1
Publikationsserver,Softwareprojekt,Liste,1
Server,Sprache,Gegenstand,1
Sicherheitsmuster,Menge,Vorgang,1
System,Objektklasse,Kategorie,1
Logging,Medium,Objekt,1
Objektdatenbank,Klasse,Raum,1
Windows-system,Modell,Zustand,1
Datenverarbeitungssprache,Abfragesprache,Gesamtheit,1
System,Datenverarbeitungssprache,Organisation,1
Datenaufsichtssprache,Listen­form,Raum,1
Objektdatenbanksystem,Protokoll,Vorgang,1
Datenmanipulationssprache,Muster,Zusammensetzung,1
Datenbanksprache,Speicher,Raum,1
Logdatei,Fremdschlüssel,Information,1
Objektdatenbankmodell,Verfahren,Abbildung,1
Datenaufsichtssprache,Zweck,Gesamtheit,1
Relationale-datenbank-muster,Tabellenform,Vielzahl,1
System,Netzwerkdatenbankmodell,Sammlung,1
Batch-transaktion,Transaktion,Beginn,1
Mastertabelle,Querverweistabelle,Mathematik,1
Sprache,Abfragesprache,Kommunikationsmittel,1
Abhängigkeitsinformation,Satz,Symbol,1
Datenspeichersystem,Verarbeitung,Vorgang,1
Querverweistabelle,Lookup-tabelle,Mathematik,1
Fehler,Kundennummer,Erscheinungsform,1
Data-warehouse-system,Nutzdaten,Zusammenfassung,1
Manipulationssprache,Analysezweck,Raum,1
Modell,Zustand,Konstrukt,1
Datenaufsichtssprache,Klasse,Modell,1
Datenaufsichtssprache,Teilsprache,Varietät,1
Datenmanipulationssprache,Speichermedium,Modell,1
Datenspeichersystem,Artikelnummer,Art,1
Harvesting,Sprachteil,Name,1
Datenmanipulationssprache,Form,Eigenschaft,1
Objektdatenbanksystem,Telemedium,Begriff,1
Windows-system,Spezialfall,Zusammenfassung,1
Datenspeichersystem,Typ,Art,1
Datenverarbeitungssprache,Teil,System,1
Objektdatenbanksystem,Teilsprache,Einrichtung,1
Zieltabelle,Berechnungsmodell,Ordnung,1
Datenbanksprache,Datenspeicher,Gruppe,1
Objektdatenbank,Schlüssel,Sammlung,1
History-tabelle,Lookup-tabelle,Anordnung,1
Transaktionstabelle,Data-warehouse-system,Ordnung,1
Datenbanksprache,Datenbank-)abfragesprache,Kategorie,1
Datenverarbeitungssprache,Dta-verfahren,Güte,1
Computersystem,Protokoll,Kategorie,1
Software,Anwendungsprogramm,Element,1
Abhängigkeitsinformation,Protokoll,Information,1
Sprache,Begriff,Vorgang,1
Datenspeichersystem,Typ,Klasse,1
Information,Zweck,Rang,1
Datenbankmodell,Feldname,Lebewesen,1
Sperrverwaltung,Verwaltung,Administration,1
Manipulationssprache,Datumensatz,Taxon,1
